Nº_envolvido,condutor,cod_severidade,sexo,cinto_seguranca,Embreagues,Idade,categoria_habilitacao,especie_veiculo,pedestre,passageiro,turno
1,1,1,1,1,0,76,7,9,0,0,1
2,1,3,2,1,0,39,4,1,0,0,1
3,1,3,1,1,0,48,10,7,0,0,1
4,0,1,2,1,0,76,0,9,0,1,1
5,0,1,2,1,0,45,0,9,0,1,1
6,0,1,2,1,0,50,0,9,0,1,1
7,0,1,2,1,0,45,0,9,0,1,1
1,1,1,1,1,0,40,6,3,0,0,0
2,1,3,1,1,0,35,6,1,0,0,0
1,1,1,1,1,0,35,6,3,0,0,1
2,1,3,1,1,0,44,4,1,0,0,1
1,1,3,1,1,0,18,4,1,0,0,1
2,1,1,1,1,0,19,6,3,0,0,1
3,0,1,1,1,0,20,0,3,0,1,1
1,0,1,1,0,0,64,0,6,1,0,1
2,1,1,1,1,0,21,0,3,0,0,1
1,1,3,1,1,0,48,4,5,0,0,1
2,1,3,1,1,0,30,4,1,0,0,1
3,1,3,1,1,0,43,9,1,0,0,1
4,1,3,1,1,0,39,4,1,0,0,1
5,1,3,1,1,0,53,9,1,0,0,1
6,1,3,1,1,0,24,4,5,0,0,1
7,0,1,1,1,0,14,0,1,0,1,1
8,0,1,2,1,0,54,0,1,0,1,1
1,1,3,1,1,0,24,9,1,0,0,1
2,0,1,1,0,0,11,0,6,1,0,1
1,1,3,1,1,0,25,4,1,0,0,1
2,1,3,2,1,0,42,4,1,0,0,1
3,0,1,2,0,2,0,0,1,2,1,1
1,1,1,1,0,0,18,1,0,0,0,1
2,1,3,1,1,0,24,0,3,0,0,1
1,1,3,1,1,0,42,4,1,0,0,1
2,1,1,1,1,0,64,7,3,0,0,1
1,1,1,1,1,0,24,6,3,0,0,2
2,1,3,2,1,0,50,4,1,0,0,2
1,1,1,1,1,0,74,6,1,0,0,2
2,1,1,1,1,0,23,0,3,0,0,2
1,1,1,1,1,0,33,6,3,0,0,2
2,1,3,1,1,0,57,6,1,0,0,2
1,1,3,1,1,0,42,4,1,0,0,2
2,1,1,1,1,0,49,8,3,0,0,2
1,1,1,1,1,0,36,6,3,0,0,2
2,0,1,1,0,0,67,0,6,1,2,2
1,1,1,1,1,0,22,0,3,0,0,2
2,1,3,1,1,0,45,0,7,0,0,2
1,1,3,1,1,0,42,6,1,0,0,2
2,1,1,1,1,0,28,3,3,0,0,2
1,1,3,2,1,0,34,4,1,0,0,2
2,0,1,2,0,0,56,0,6,1,0,2
1,1,3,1,1,0,53,4,1,0,0,2
2,1,1,1,1,0,22,6,3,0,0,2
1,1,1,1,1,0,30,2,3,0,0,2
2,1,3,1,1,0,23,6,1,0,0,2
1,1,1,1,1,0,51,4,1,0,0,2
2,1,3,2,1,0,36,4,1,0,0,2
1,1,3,1,1,0,37,4,1,0,0,2
2,1,1,1,1,0,38,6,10,0,0,2
3,0,1,2,1,0,33,0,10,0,1,2
1,1,1,1,1,0,34,0,3,0,0,2
2,1,3,1,0,2,0,3,1,2,2,2
1,1,3,1,1,0,31,4,1,0,0,0
2,0,2,1,0,0,60,0,6,1,0,0
1,1,1,1,1,0,19,4,1,0,0,0
1,1,1,1,1,0,49,0,1,0,0,0
4,1,1,1,0,2,0,0,1,2,2,0
1,1,1,1,1,0,35,3,3,0,0,0
1,1,3,1,1,0,41,10,2,0,0,0
2,0,1,2,1,0,54,0,2,0,1,0
3,0,1,2,1,0,47,0,2,0,1,0
4,0,1,2,1,0,43,0,2,0,1,0
1,1,1,1,1,0,51,0,3,0,0,0
2,0,1,1,0,2,0,0,6,1,2,0
1,1,1,1,1,0,20,3,3,0,0,0
2,0,1,1,1,0,15,0,3,0,1,0
3,1,3,1,1,0,68,0,1,0,0,0
2,1,1,1,1,0,32,3,3,0,0,0
1,1,3,1,1,0,38,8,7,0,0,0
2,1,3,1,1,0,34,4,1,0,0,0
3,0,1,2,1,0,38,0,1,0,1,0
1,1,3,1,1,0,51,4,1,0,0,0
2,1,1,1,0,0,38,1,0,0,0,0
1,1,1,1,1,0,21,6,3,0,0,2
2,1,3,1,1,0,25,3,3,0,0,2
1,1,1,1,1,0,29,4,1,0,0,0
2,1,3,1,1,0,26,4,1,0,0,0
1,1,1,1,1,0,23,6,3,0,0,0
2,1,3,1,1,0,51,4,1,0,0,0
1,1,1,1,1,0,22,6,3,2,2,1
2,1,0,0,0,2,0,0,7,2,2,1
1,1,1,1,1,0,25,6,3,0,0,1
2,0,1,2,1,0,24,0,3,0,1,1
1,1,3,1,1,0,23,6,1,0,0,1
2,1,1,1,1,0,27,6,3,0,0,1
1,1,3,1,1,0,56,4,1,0,0,1
3,1,1,2,1,0,70,0,1,0,0,1
1,1,3,1,1,0,29,6,1,0,0,1
2,0,1,2,0,0,15,0,6,1,0,1
1,1,1,1,1,0,31,6,3,0,0,2
4,1,0,0,0,2,0,0,1,2,2,2
1,1,1,1,1,1,43,0,1,0,0,2
3,1,0,1,0,2,0,0,1,2,2,2
1,1,1,1,1,0,30,6,3,0,0,2
2,0,1,2,1,0,22,0,3,0,1,2
3,1,1,1,0,0,22,1,0,0,0,2
2,0,1,2,0,0,49,0,6,1,0,2
1,1,1,1,1,0,26,6,3,0,0,2
2,1,1,1,1,0,30,6,3,0,0,2
1,1,1,1,1,0,22,3,1,0,0,2
1,1,3,1,1,0,22,0,1,0,0,2
2,1,1,1,1,0,31,0,3,0,0,2
3,0,3,1,1,0,32,0,3,0,1,2
1,1,3,1,1,1,43,6,1,0,0,0
2,0,1,2,0,0,3,0,1,0,1,0
3,0,1,2,0,1,27,0,1,0,1,0
1,1,3,1,1,0,40,4,11,0,0,0
2,1,3,1,1,0,30,8,1,0,0,0
3,0,1,1,1,0,20,0,1,0,1,0
1,1,1,2,1,0,31,4,1,0,0,0
1,1,3,1,1,0,27,6,3,0,0,1
2,1,1,1,0,0,56,1,0,0,0,1
1,1,1,1,0,0,17,1,12,0,0,2
2,1,3,1,1,0,24,0,1,0,0,2
2,1,0,1,0,2,0,0,1,2,2,1
1,1,3,1,1,0,42,10,1,0,0,2
2,1,1,1,1,1,53,3,3,0,0,2
1,1,1,2,1,0,30,0,1,0,0,2
3,1,3,1,0,2,0,4,1,2,2,2
1,1,3,1,1,0,42,9,1,0,0,2
2,1,1,1,1,0,33,0,3,0,0,2
3,0,1,2,1,0,21,0,3,0,1,2
2,0,1,1,0,0,37,0,6,1,0,2
1,1,1,1,1,0,19,3,3,0,0,2
2,1,3,1,1,1,50,4,1,0,0,2
1,1,3,1,1,0,25,4,1,0,0,2
2,1,1,1,1,0,35,3,3,0,0,2
1,1,1,1,1,0,18,2,3,0,0,0
